,Date,Map,Team 1 ID,Team 1 Start Side,Team 1 Score,Team 1 Half 1 Score,Team 1 Half 2 Score,Team 1 Overtime Score,Team 2 ID,Team 2 Start Side,Team 2 Score,Team 2 Half 1 Score,Team 2 Half 2 Score,Team 2 Overtime Score,Match ID,HomeWin,HomeLastWin,VisitorLastWin,HomeWinStreak,VisitorWinStreak
4386,7/15/17,Train,7962,T,2,1,1,0,6474,CT,16,14,2,0,2312700/sz-absolute-vs-mvp-project-wca-2017-asia-pacific-open-qualifier,False,True,True,2,1
4387,7/15/17,Inferno,7962,CT,9,3,6,0,6474,T,16,12,4,0,2312700/sz-absolute-vs-mvp-project-wca-2017-asia-pacific-open-qualifier,False,False,True,0,2
4388,7/15/17,Overpass,5929,CT,16,9,7,0,6762,T,11,6,5,0,2312690/space-soldiers-vs-bpro-esea-premier-season-25-europe,True,True,False,3,0
4389,7/15/17,Inferno,5154,T,16,7,9,0,5158,CT,13,8,5,0,2312685/damage-control-vs-bravado-esl-african-championship-series-1-2017,True,False,True,0,3
4390,7/15/17,Mirage,5154,T,5,1,4,0,5158,CT,16,14,2,0,2312685/damage-control-vs-bravado-esl-african-championship-series-1-2017,False,True,False,1,0
4391,7/15/17,Train,5154,CT,6,4,2,0,5158,T,16,11,5,0,2312685/damage-control-vs-bravado-esl-african-championship-series-1-2017,False,False,True,0,1
4392,7/15/17,Inferno,4411,CT,8,8,0,0,5991,T,16,7,9,0,2312356/nip-vs-envyus-dreamhack-open-valencia-2017,False,True,True,4,1
4393,7/15/17,Cache,4411,T,16,9,7,0,5991,CT,10,6,4,0,2312356/nip-vs-envyus-dreamhack-open-valencia-2017,True,False,True,0,2
4394,7/15/17,Train,4411,CT,16,10,6,0,5991,T,9,5,4,0,2312356/nip-vs-envyus-dreamhack-open-valencia-2017,True,True,False,1,0
4395,7/15/17,Cache,7479,T,16,7,9,0,7660,CT,14,8,6,0,2312697/emp-vs-flash-wca-2017-china-qualifier-2,True,True,False,2,0
4396,7/15/17,Mirage,7479,T,12,6,6,0,7660,CT,16,9,7,0,2312697/emp-vs-flash-wca-2017-china-qualifier-2,False,True,False,3,0
4397,7/15/17,Inferno,7839,T,12,8,4,0,6474,CT,16,7,9,0,2312702/nspr-vs-mvp-project-wca-2017-asia-pacific-open-qualifier,False,True,True,1,3
4398,7/15/17,Overpass,7839,T,16,11,5,0,6474,CT,10,4,6,0,2312702/nspr-vs-mvp-project-wca-2017-asia-pacific-open-qualifier,True,False,True,0,4
4399,7/15/17,Cache,7839,CT,16,10,6,0,6474,T,7,5,2,0,2312702/nspr-vs-mvp-project-wca-2017-asia-pacific-open-qualifier,True,True,False,1,0
4400,7/15/17,Inferno,7577,CT,10,4,6,0,7839,T,16,11,5,0,2312699/vindicta-vs-nspr-wca-2017-asia-pacific-open-qualifier,False,True,True,1,2
4401,7/15/17,Cache,7577,CT,11,7,4,0,7839,T,16,8,8,0,2312699/vindicta-vs-nspr-wca-2017-asia-pacific-open-qualifier,False,False,True,0,3
4402,7/15/17,Mirage,7713,T,16,3,13,0,6745,CT,13,12,1,0,2312682/north-academy-vs-extatus-hellcase-cup-5,True,True,True,4,2
4403,7/15/17,Cache,7713,CT,16,4,12,0,6745,T,14,11,3,0,2312682/north-academy-vs-extatus-hellcase-cup-5,True,True,False,5,0
4404,7/15/17,Cache,6762,T,16,12,3,1,4501,CT,19,3,12,4,2312689/bpro-vs-alternate-attax-esea-premier-season-25-europe,False,False,False,0,0
4405,7/15/17,Cobblestone,7701,CT,16,11,5,0,7713,T,14,4,10,0,2312701/imperial-vs-north-academy-hellcase-cup-5,True,True,True,8,6
4406,7/15/17,Mirage,7701,T,16,11,5,0,7713,CT,4,4,0,0,2312701/imperial-vs-north-academy-hellcase-cup-5,True,True,False,9,0
4407,7/15/17,Cobblestone,6132,T,16,10,6,0,4688,CT,10,5,5,0,2312409/method-vs-epsilon-gfinity-elite-series,True,False,False,0,0
4408,7/15/17,Mirage,6132,CT,7,5,2,0,4688,T,16,10,6,0,2312409/method-vs-epsilon-gfinity-elite-series,False,True,False,1,0
4409,7/15/17,Train,7566,CT,19,6,9,4,6651,T,22,9,6,7,2312612/playing-ducks-vs-gambit-esea-premier-season-25-europe,False,True,True,1,2
4410,7/16/17,Mirage,8114,CT,16,13,3,0,8115,T,2,2,0,0,2312707/jurassic-vs-kukulkan-rog-masters-2017-mexico-open-qualifier,True,0,0,0,0
4411,7/16/17,Cache,8114,T,16,4,12,0,8115,CT,12,11,1,0,2312707/jurassic-vs-kukulkan-rog-masters-2017-mexico-open-qualifier,True,True,False,1,0
4412,7/16/17,Mirage,5956,CT,16,12,4,0,8116,T,3,3,0,0,2312708/quetzal-vs-epicedium-rog-masters-2017-mexico-open-qualifier,True,True,0,1,0
4413,7/16/17,Cache,5956,T,16,11,5,0,8116,CT,4,4,0,0,2312708/quetzal-vs-epicedium-rog-masters-2017-mexico-open-qualifier,True,True,False,2,0
4414,7/16/17,Cache,7479,T,6,3,3,0,7716,CT,16,12,4,0,2312704/emp-vs-uya-wca-2017-china-qualifier-2,False,False,False,0,0
4415,7/16/17,Mirage,7479,T,16,10,6,0,7716,CT,9,5,4,0,2312704/emp-vs-uya-wca-2017-china-qualifier-2,True,False,True,0,1
4416,7/16/17,Mirage,4991,CT,16,7,9,0,5988,T,12,8,4,0,2312360/fnatic-vs-flipsid3-pgl-major-krakow-2017,True,False,False,0,0
4417,7/16/17,Inferno,7531,T,16,5,11,0,6366,CT,10,10,0,0,2312722/miami-flamingos-vs-vault-wca-2017-north-america-qualifier-1,True,False,True,0,6
4418,7/16/17,Mirage,7531,CT,16,13,3,0,6366,T,4,2,2,0,2312722/miami-flamingos-vs-vault-wca-2017-north-america-qualifier-1,True,True,False,1,0
4419,7/16/17,Inferno,7169,CT,14,6,8,0,8105,T,16,9,7,0,2312706/fnatic-academy-vs-vitalis-esea-premier-season-25-europe,False,True,True,1,1
4420,7/16/17,Overpass,6665,CT,19,9,6,4,7010,T,17,6,9,2,2312366/astralis-vs-immortals-pgl-major-krakow-2017,True,False,False,0,0
4421,7/16/17,Cobblestone,8111,T,16,14,2,0,5154,CT,1,1,0,0,2312686/big-5-vs-damage-control-esl-african-championship-series-1-2017,True,False,False,0,0
