Date,Map,Team 1 ID,Team 1 Start Side,Team 1 Score,Team 1 Half 1 Score,Team 1 Half 2 Score,Team 1 Overtime Score,Team 2 ID,Team 2 Start Side,Team 2 Score,Team 2 Half 1 Score,Team 2 Half 2 Score,Team 2 Overtime Score,Match ID
5/9/17,Default,7897,T,16,11,5,0,7785,CT,8,4,4,0,2310597/ex-manatee-vs-fury-the-adria-masters-season-1
5/9/17,Mirage,7897,CT,16,10,6,0,7785,T,8,5,3,0,2310597/ex-manatee-vs-fury-the-adria-masters-season-1
5/9/17,Overpass,6745,T,16,10,6,0,7437,CT,8,5,3,0,2310586/extatus-vs-netland-the-adria-masters-season-1
5/9/17,Mirage,6745,CT,16,11,5,0,7437,T,4,4,0,0,2310586/extatus-vs-netland-the-adria-masters-season-1
5/9/17,Mirage,6978,CT,16,11,5,0,7187,T,12,4,8,0,2310357/singularity-vs-nexus-cevo-main-season-12-europe
5/9/17,Nuke,6978,T,16,7,9,0,7187,CT,12,8,4,0,2310357/singularity-vs-nexus-cevo-main-season-12-europe
5/9/17,Train,7528,T,1,1,0,0,4863,CT,16,14,2,0,2310505/hegemonyperson-vs-tyloo-wca-2017-china-qualifier
5/9/17,Mirage,7528,T,5,4,1,0,4863,CT,16,11,5,0,2310505/hegemonyperson-vs-tyloo-wca-2017-china-qualifier
5/9/17,Inferno,4865,T,10,4,6,0,4863,CT,16,11,5,0,2310506/new4-vs-tyloo-wca-2017-china-qualifier
5/9/17,Cache,4865,CT,7,5,2,0,4863,T,16,10,6,0,2310506/new4-vs-tyloo-wca-2017-china-qualifier
5/9/17,Train,7860,CT,12,12,0,0,7861,T,16,3,13,0,2310507/dans-ta-yeule-vs-doxxa-cevo-main-season-12-north-america
5/9/17,Inferno,7860,T,6,2,4,0,7861,CT,16,13,3,0,2310507/dans-ta-yeule-vs-doxxa-cevo-main-season-12-north-america
5/9/17,Cache,6908,T,16,9,7,0,4863,CT,9,6,3,0,2310504/five-vs-tyloo-wca-2017-china-qualifier
5/9/17,Mirage,6908,T,4,1,3,0,4863,CT,16,14,2,0,2310504/five-vs-tyloo-wca-2017-china-qualifier
